"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Jefferson County, ID"	"16051"	Suppressed	19802	Suppressed
	"Jerome County, ID"	"16053"	Suppressed	18730	Suppressed
	"Kootenai County, ID"	"16055"	Suppressed	113667	Suppressed
	"Latah County, ID"	"16057"	Suppressed	35183	Suppressed
	"Lemhi County, ID"	"16059"	Suppressed	7590	Suppressed
	"Lewis County, ID"	"16061"	Suppressed	3673	Suppressed
	"Lincoln County, ID"	"16063"	Suppressed	4242	Suppressed
	"Madison County, ID"	"16065"	Suppressed	28478	Suppressed
	"Minidoka County, ID"	"16067"	Suppressed	19542	Suppressed
	"Nez Perce County, ID"	"16069"	Suppressed	37111	Suppressed
	"Oneida County, ID"	"16071"	Suppressed	4125	Suppressed
	"Owyhee County, ID"	"16073"	Suppressed	10876	Suppressed
	"Payette County, ID"	"16075"	Suppressed	20966	Suppressed
	"Power County, ID"	"16077"	Suppressed	7371	Suppressed
	"Shoshone County, ID"	"16079"	Suppressed	13044	Suppressed
	"Teton County, ID"	"16081"	Suppressed	6849	Suppressed
	"Twin Falls County, ID"	"16083"	Suppressed	65473	Suppressed
	"Valley County, ID"	"16085"	Suppressed	7762	Suppressed
	"Washington County, ID"	"16087"	Suppressed	9904	Suppressed
	"Adams County, IL"	"17001"	Suppressed	67776	Suppressed
	"Alexander County, IL"	"17003"	Suppressed	9592	Suppressed
	"Bond County, IL"	"17005"	Suppressed	17735	Suppressed
	"Boone County, IL"	"17007"	Suppressed	44585	Suppressed
	"Brown County, IL"	"17009"	Suppressed	6925	Suppressed
	"Bureau County, IL"	"17011"	Suppressed	35057	Suppressed
	"Calhoun County, IL"	"17013"	Suppressed	4987	Suppressed
	"Carroll County, IL"	"17015"	Suppressed	16312	Suppressed
	"Cass County, IL"	"17017"	Suppressed	13549	Suppressed
	"Champaign County, IL"	"17019"	Suppressed	184198	Suppressed
	"Christian County, IL"	"17021"	Suppressed	35181	Suppressed
	"Clark County, IL"	"17023"	Suppressed	16844	Suppressed
	"Clay County, IL"	"17025"	Suppressed	14228	Suppressed
	"Clinton County, IL"	"17027"	Suppressed	36003	Suppressed
	"Coles County, IL"	"17029"	Suppressed	52454	Suppressed
	"Cook County, IL"	"17031"	362	5328775	6.8
	"Crawford County, IL"	"17033"	Suppressed	20204	Suppressed
	"Cumberland County, IL"	"17035"	Suppressed	11171	Suppressed
	"DeKalb County, IL"	"17037"	Suppressed	91951	Suppressed
	"De Witt County, IL"	"17039"	Suppressed	16673	Suppressed
	"Douglas County, IL"	"17041"	Suppressed	20017	Suppressed
	"DuPage County, IL"	"17043"	39	913880	4.3
	"Edgar County, IL"	"17045"	Suppressed	19249	Suppressed
	"Edwards County, IL"	"17047"	Suppressed	6856	Suppressed
	"Effingham County, IL"	"17049"	Suppressed	34281	Suppressed
	"Fayette County, IL"	"17051"	Suppressed	21814	Suppressed
	"Ford County, IL"	"17053"	Suppressed	14118	Suppressed
	"Franklin County, IL"	"17055"	Suppressed	38893	Suppressed
	"Fulton County, IL"	"17057"	Suppressed	37587	Suppressed
	"Gallatin County, IL"	"17059"	Suppressed	6144	Suppressed
	"Greene County, IL"	"17061"	Suppressed	14622	Suppressed
	"Grundy County, IL"	"17063"	Suppressed	38865	Suppressed
	"Hamilton County, IL"	"17065"	Suppressed	8440	Suppressed
	"Hancock County, IL"	"17067"	Suppressed	19794	Suppressed
	"Hardin County, IL"	"17069"	Suppressed	4723	Suppressed
	"Henderson County, IL"	"17071"	Suppressed	8078	Suppressed
	"Henry County, IL"	"17073"	Suppressed	50454	Suppressed
	"Iroquois County, IL"	"17075"	Suppressed	30805	Suppressed
	"Jackson County, IL"	"17077"	Suppressed	58949	Suppressed
	"Jasper County, IL"	"17079"	Suppressed	10015	Suppressed
	"Jefferson County, IL"	"17081"	Suppressed	39805	Suppressed
	"Jersey County, IL"	"17083"	Suppressed	22001	Suppressed
	"Jo Daviess County, IL"	"17085"	Suppressed	22480	Suppressed
	"Johnson County, IL"	"17087"	Suppressed	12454	Suppressed
	"Kane County, IL"	"17089"	13	440437	Unreliable
	"Kankakee County, IL"	"17091"	Suppressed	104932	Suppressed
	"Kendall County, IL"	"17093"	Suppressed	62523	Suppressed
	"Knox County, IL"	"17095"	Suppressed	54963	Suppressed
	"Lake County, IL"	"17097"	24	668022	3.6
	"LaSalle County, IL"	"17099"	Suppressed	111904	Suppressed
	"Lawrence County, IL"	"17101"	Suppressed	16045	Suppressed
	"Lee County, IL"	"17103"	Suppressed	35825	Suppressed
	"Livingston County, IL"	"17105"	Suppressed	39519	Suppressed
	"Logan County, IL"	"17107"	Suppressed	30873	Suppressed
	"McDonough County, IL"	"17109"	Suppressed	32802	Suppressed
	"McHenry County, IL"	"17111"	Suppressed	274441	Suppressed
	"McLean County, IL"	"17113"	Suppressed	155882	Suppressed
	"Macon County, IL"	"17115"	Suppressed	112564	Suppressed
	"Macoupin County, IL"	"17117"	Suppressed	48719	Suppressed
	"Madison County, IL"	"17119"	Suppressed	261130	Suppressed
	"Marion County, IL"	"17121"	Suppressed	40971	Suppressed
	"Marshall County, IL"	"17123"	Suppressed	12939	Suppressed
	"Mason County, IL"	"17125"	Suppressed	15847	Suppressed
	"Massac County, IL"	"17127"	Suppressed	15206	Suppressed
	"Menard County, IL"	"17129"	Suppressed	12525	Suppressed
	"Mercer County, IL"	"17131"	Suppressed	16914	Suppressed
	"Monroe County, IL"	"17133"	Suppressed	29070	Suppressed
	"Montgomery County, IL"	"17135"	Suppressed	30550	Suppressed
	"Morgan County, IL"	"17137"	Suppressed	36262	Suppressed
	"Moultrie County, IL"	"17139"	Suppressed	14362	Suppressed
	"Ogle County, IL"	"17141"	Suppressed	51758	Suppressed
	"Peoria County, IL"	"17143"	Suppressed	182685	Suppressed
	"Perry County, IL"	"17145"	Suppressed	22708	Suppressed
	"Piatt County, IL"	"17147"	Suppressed	16216	Suppressed
	"Pike County, IL"	"17149"	Suppressed	17031	Suppressed
	"Pope County, IL"	"17151"	Suppressed	4334	Suppressed
	"Pulaski County, IL"	"17153"	Suppressed	7001	Suppressed
	"Putnam County, IL"	"17155"	Suppressed	6061	Suppressed
	"Randolph County, IL"	"17157"	Suppressed	33512	Suppressed
	"Richland County, IL"	"17159"	Suppressed	16326	Suppressed
	"Rock Island County, IL"	"17161"	Suppressed	148286	Suppressed
	"St. Clair County, IL"	"17163"	Suppressed	257952	Suppressed
	"Saline County, IL"	"17165"	Suppressed	26060	Suppressed
	"Sangamon County, IL"	"17167"	Suppressed	190756	Suppressed
	"Schuyler County, IL"	"17169"	Suppressed	7175	Suppressed
	"Scott County, IL"	"17171"	Suppressed	5505	Suppressed
	"Shelby County, IL"	"17173"	Suppressed	22656	Suppressed
	"Stark County, IL"	"17175"	Suppressed	6268	Suppressed
	"Stephenson County, IL"	"17177"	Suppressed	48367	Suppressed
